img,title,author,eth_price
https://i.seadn.io/gae/3V3KOVk6B-ZisryjmUSWWV4ci0xaj5zXlu6GVZYWW7oJhZiqDBB9seBaK2ylO3MNF__ALrXV5DD92n9x-8EtgHkk18_NVCBSv5GYecs?auto=format&w=3840,1571,Amazonia - Sebastiao Salgado,0.40
https://i.seadn.io/gae/3n4MfjCt_aEhxpDypfOlcP2PHyaGU-fmSohxE0ZxyE3nkg27b_6Qp3DuYWTV6w5ZD8wKmx7CFoCbQmB1XJbUcMY1H9h047AeRk8TNg?auto=format&w=3840,Anxious Pleasures - 2020_1010,Anxious Pleasures by Amy Elkins,0.65
https://i.seadn.io/gae/YEGY15kIKl1YTkhTis5YW8Q5vpo9pyhOjDd53RXMjrFxR7ABrBrKj9tZMXThF3gDIUdduqer5usui7d2Sjwz_g7vfJp9bg9Ohc5YTuY?auto=format&w=3840,855,Amazonia - Sebastiao Salgado,0.40
https://i.seadn.io/gae/FW5wp_JJaIjJJ5M8x7DvJS9P3ROKwWEzwVEJMwUvLCuukaLjERZk30E1xoGLEbpV1Z2ZnVgR5hY66lNhPsS2xiJPlu-yvC_1CfkdeQ?auto=format&w=3840,801,Amazonia - Sebastiao Salgado,0.40
https://i.seadn.io/gae/g8Jk4xn8Q-bMGyjqJiWWaTXn_Ju6UR8VX2LPPyq6sMA9ZiaGEK2jiazSY1RyZ6nvMlr_GwYZmtPYW_QPc-hDJ1SZ00u3WityuKJRDsw?auto=format&w=3840,PHOTOPIA 2022 #6906,PHOTOPIA 2022 - Genesis Edition,1
https://i.seadn.io/gae/oJDa17mnCwDatyk2_1uGdoWGafeUgVoHO1W1jAVH2tk1fYw1sG_eKkTbEKjDfKmRMfOe-POTyRKl-eetk1YY3hYvIH_wxv57ryghhQ?auto=format&w=3840,1202,Amazonia - Sebastiao Salgado,0.195
https://i.seadn.io/gae/1atsL6ffTQ_qjGzl0eN6BRYdUs4RobJtl19kj8tEuaGjOwkjanMMzK9b1m3AGar3IBNBh_bXaOHWN1JASmyzk5belPO_buoDJk6MhD8?auto=format&w=3840,Golden hour,DREAMERS EDITIONS BY LAURENT CASTELLANI,0.333
https://i.seadn.io/gae/l1uOsJJndOZcX4SxSk_t9gEakfliHhfJLgw9MzbGzGs-Clh0xr_bi5aLJVaxjIje1rzjQd-RAQXmYy8785cMiesbrd4BhyHv3p-xEg?auto=format&w=3840,Prism,DREAMERS EDITIONS BY LAURENT CASTELLANI,0.44
https://i.seadn.io/gae/W-AGzWp-NGtKSEgETnu3IDh9k_kdIWhXifWs6TQoMbg8iAvfW-uwnAN2-4-PT7HxQw5yeRHYb6U6Deqkqr1jM81c4aeGFPNuAjLWKg?auto=format&w=3840,1391,Amazonia - Sebastiao Salgado,1.60
https://i.seadn.io/gae/HizGksCw_WZOqwC9S0bioczbBAH2hJWYqWUwhytW-mJo68Tmy45Ghu7wXM7sODCqXA-xnuq1Dt6imjnTiPOUJjcnipopxv0_SQupbQ?auto=format&w=3840,Moongirl #2736,Moongirls by Emanuele Ferrari,0.055
https://i.seadn.io/gae/TtH_KVZuIzDEiPtNT1hPTu2XblQpislM-IKKbMozm3GSaAeLKqeAhr5JQWue_xAlluvHsoWB2MaGuHw1XADoq7jxyr2yxbgJpqcTGBo?auto=format&w=3840,PHOTOPIA 2022 #5089,PHOTOPIA 2022 - Genesis Edition,0.03
https://i.seadn.io/gae/YheFi0bdqvEPFhrFqfCfZTfwuKHmNCQkqhnpX4Xei_lMSRvcFhQ6XqRdTURQlmg2CLI8QWJ8vQSW6sixYI30GxZH0KlxnzK67lxhR8I?auto=format&w=3840,Metascapes #439,The Metascapes,0.13
